book_id;book_name;author;edition_year;age_restriction;number_pages;genre;link;annotation;image;
6057618;Любовь & Война;Мелисса де ла Круз;2022;16+;384;Зарубежная сентиментальная проза;https://book24.ru/product/lyubov-voyna-6057618/;;https://cdn.book24.ru/v2/ASE000000000851912/COVER/cover13d__w410.jpg;
5944307;Путешествие в мир веганской кулинарии;Дарья Макарова;2021;16+;144;Вегетарианская кухня;https://book24.ru/product/puteshestvie-v-mir-veganskoy-kulinarii-5944307/;Возможно, вы только начинаете свой веганский путь, а может идете по нему давно и уверенным шагом – в любом случае эта книга станет для вас настоящей находкой. Дарья Макарова, автор популярного блога в Инстаграм, предлагает вам начать путешествие в мир веганской кулинарии прямо сейчас. Она собрала более 50 рецептов от завтраков до ужинов, от закусок до десертов, которые помогут составить полноценное меню на каждый день. Также Дарья научит вас создавать рецепты с нуля, познакомит с ингредиентами веганской кухни и даст советы по планированию своего рациона.;https://cdn.book24.ru/v2/ITD000000001107158/COVER/cover13d__w410.jpg;
6064961;Дневник Батарейкина, или Рейкин, не позорься!;Игорь Родионов;2022;6+;160;Юмор;https://book24.ru/product/dnevnik-batareykina-ili-reykin-ne-pozorsya-6064961/;;https://cdn.book24.ru/v2/ASE000000000858432/COVER/cover13d__w410.jpg;
5933923;Невидимые шрамы. Как распознать психологическое насилие и выйти из разрушающих отношений;Шеннон Томас;2021;16+;288;Саморазвитие и личностный рост;https://book24.ru/product/nevidimye-shramy-kak-raspoznat-psikhologicheskoe-nasilie-i-vyyti-iz-razrushayushchikh-otnosheniy-5933923/;Психологическое насилие не оставляет синяков. Но невидимые раны могут навсегда остаться в душе жертвы. Понять, что вы оказались в нездоровых отношениях, и защититься от их разрушительных последствий бывает непросто. Шеннон Томас — автор международных бестселлеров, эксперт в работе с жертвами психологического насилия — расскажет о признаках, механизмах и уловках психологического абьюза, а также познакомит с шестью этапами восстановления после токсичных отношений. Представленная в книге программа одобрена профессиональным сообществом и уже используется тысячами людей в 11 странах мира! Эта книга — поддержка чуткого профессионала для всех жертв психологического абьюза — поможет восстановить эмоциональное, физическое, финансовое благополучие и вернуть уверенность в свою жизнь.;https://cdn.book24.ru/v2/ASE000000000855707/COVER/cover13d__w410.jpg;
5958475;Раб лампы;Дибров Дмитрий Александрович;2021;16+;224;Телевидение;https://book24.ru/product/rab-lampy-5958475/;Из книги известного телеведущего Дмитрия Диброва вы узнаете, что останкинцы обсуждают эфир даже в реанимации, что телевидение с самого своего рождения обречено "пудрить людям мозги", но в нем заключена какая-то магия, раз многие стремятся стать "звёздами".  Ну и конечно, телеведущий игры "Кто хочет стать миллионером?" поделится секретами своей удивительной профессии: как создать сценический образ, чтобы поднять рейтинги программы,  каким может быть дизайн эфира, как правильно говорить с одним собеседником и с многочисленной аудиторией, какую роль играют жесты, голос и мимика, как реагировать на манипулирование со стороны гостя.;https://cdn.book24.ru/v2/ASE000000000858041/COVER/cover13d__w410.jpg;
5990224;Дневник одной девочки. Для хранения ароматных веточек, ярких идей и вольных мыслей. Стая;Анна Фенина;2021;12+;160;Личные дневники;https://book24.ru/product/dnevnik-odnoy-devochki-dlya-khraneniya-aromatnykh-vetochek-yarkikh-idey-i-volnykh-mysley-staya-5990224/;От авторов проекта целебных сказок "Одна девочка собирала стаю" - самый уютный дневник на свете. Проект сделан с любовью к каждой из его будущих хозяек. И к лесу, конечно, тоже. Ведь он напечатан на бумаге, произведённой с учетом бережного использования лесных ресурсов. Выбирайте, какое из двух оформлений вам по душе. "Стая" - для силы и отваги Или "Лиса" - для  мягкости и пушистости.;https://cdn.book24.ru/v2/ITD000000001176800/COVER/cover13d__w410.jpg;
6024514;Как убить литературу. Очерки о литературной политике и литературе начала 21 века;Сухбат Афлатуни;2021;18+;352;Литературоведение;https://book24.ru/product/kak-ubit-literaturu-ocherki-o-literaturnoy-politike-i-literature-nachala-21-veka-6024514/;;https://cdn.book24.ru/v2/ITD000000001194743/COVER/cover13d__w410.jpg;
6062462;Математика и фокусы. Геометрические головоломки для развития мозга.;Пётр Земсков;2022;6+;224;Математические науки;https://book24.ru/product/matematika-i-fokusy-geometricheskie-golovolomki-dlya-razvitiya-mozga-6062462/;;https://cdn.book24.ru/v2/ASE000000000858528/COVER/cover13d__w410.jpg;
5907884;По косточкам. Разделываем пищевую индустрию на части;Джоанна Блайтмэн;2022;12+;336;Социология. Обществознание;https://book24.ru/product/po-kostochkam-razdelyvaem-pishchevuyu-industriyu-na-chasti-5907884/;Пищевая индустрия изобрела для себя массу средств: от простых уловок до сложных современных технологий. Все они помогают удешевить производство, продлить срок годности и сделать продукт приятным на вид и наощупь. В результате магазинная еда выглядит красивой и долго хранится. Вот только мы, покупатели, понятия не имеем о том, как и за счет чего это достигается.  Перед вами книга, автор которой сумела проникнуть во многие секреты пищевого производства. Из нее вы узнаете: — почему овощи и фрукты в магазине выглядят такими свежими? — как технологи добиваются, чтобы вы всякий раз испытывали тот самый привычный вкус? — из-за чего йогурты, хлопья и салаты не так безвредны, как кажется? — можно ли вообще найти на полках магазинов безопасную еду?;https://cdn.book24.ru/v2/ITD000000001121698/COVER/cover13d__w410.jpg;
6065046;Уравнение со всеми известными;Наталья Нестерова;2022;16+;512;Русская сентиментальная проза;https://book24.ru/product/uravnenie-so-vsemi-izvestnymi-6065046/;;https://cdn.book24.ru/v2/ASE000000000863170/COVER/cover13d__w410.jpg;
